accuracy,f1,roc_auc,fold,n_train,n_val,num_features
0.7165938864628821,0.7080521817363923,0.7803006544625465,0,9156,2290,9996
0.7221494102228048,0.7193292144748455,0.7881799394845649,1,9157,2289,9996
0.6963739624290083,0.6915224145583667,0.7704123631043376,2,9157,2289,9996
0.7204019222367847,0.708295350957156,0.7869838730399564,3,9157,2289,9996
0.7370030581039755,0.7261146496815287,0.8071640648913376,4,9157,2289,9996
